track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
408UEGA6FV2nvQjr1nt1VT,Drive Away,The Body Never Lies,Krewella,3/4/2022,240000,51,0.502,0.0543,0.874,1.27E-06,0.426,-3.742,0.203,141.776,4
4XeIiGpUBshIfs9yrBDVZC,The Last Goodbye (feat. Bettye LaVette),The Last Goodbye (feat. Bettye LaVette),Bettye LaVette,2/8/2022,359126,77,0.633,0.00764,0.92,0.00177,0.123,-2.812,0.0928,114.997,4
6GomT970rCOkKAyyrwJeZi,Move Your Body,Move Your Body,Sevek,10/29/2021,157445,83,0.848,0.0169,0.821,0.000403,0.0962,-5.408,0.0527,125.051,4
50ZFpw2wS6ERvLmW8TINhq,Beg For You (feat. Rina Sawayama),Beg For You (feat. Rina Sawayama),Rina Sawayama,1/27/2022,168053,82,0.788,0.223,0.945,2.97E-06,0.115,-5.091,0.0599,128.036,4
08Ecw0ItPxGeHS9Mexr8cs,Redlight,Redlight,Sting,2/25/2022,242905,73,0.716,0.00857,0.655,0.162,0.0572,-5.999,0.0444,125.012,4
0KG7XrgM20KEmJrKsyFDAm,Let You Go,Diplo,Kareen Lomax,3/4/2022,234375,58,0.584,0.101,0.955,0.00243,0.092,-4.197,0.0507,128.04,4
4RAR8g8fZNB106ezUurnE0,Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),DNCE,2/25/2022,215203,80,0.75,0.293,0.797,0,0.392,-4.826,0.118,105.949,4
26KOUSe9W0ZsTxMgNfbmq1,Where Did You Go?,Where Did You Go?,MNEK,1/26/2022,177689,43,0.774,0.194,0.784,1.07E-05,0.293,-4.549,0.0351,127.042,4
7y3c1oJMY1CwwtOZ84Qovu,Hallucination,Hallucination,Years & Years,2/18/2022,174795,76,0.687,0.0121,0.788,0,0.358,-5.142,0.0352,123.02,4
4aXij4j5BNOKKNrxgA6wc6,Togetherness,Togetherness,hermixalot,3/4/2022,220952,44,0.712,0.00355,0.868,0.0117,0.035,-5.618,0.08,126.018,4
424Uwmm1kNW07Ty1nOhSpl,Say Nothing (feat. MAY-A),Say Nothing (feat. MAY-A),MAY-A,2/2/2022,232959,76,0.478,0.101,0.822,6.60E-05,0.12,-1.961,0.0642,130.058,4
6oYXbji1rn7U6bFuNYekpQ,Run,Run,Galantis,2/18/2022,188732,74,0.601,0.0313,0.879,0,0.0793,-2.673,0.0353,124.013,4
7BhmwvCdQZNwuQXSHw5TzP,Headlights (feat. KIDDO),Headlights (feat. KIDDO),KIDDO,2/18/2022,158400,78,0.626,0.00998,0.754,0.00404,0.157,-6.217,0.0269,100.015,4
5kVXjAxYDkN57tZQi0JKya,You've Got To Let Go If You Want To Be Free,You've Got To Let Go If You Want To Be Free,Zedd,1/28/2022,253787,73,0.658,0.0335,0.908,0.0198,0.221,-8.071,0.186,123.92,4
6LJsVZlhPAvrALPYka3xXz,On Your Own (feat. Elderbrook),On Your Own (feat. Elderbrook),Elderbrook,3/2/2022,223992,57,0.658,0.0102,0.937,0.329,0.169,-5.773,0.0389,124.988,4
1dt220OBbkTsYz1NLVKIaw,Call Me (with R3HAB & Timmy Trumpet),Call Me (with R3HAB & Timmy Trumpet),Timmy Trumpet,1/14/2022,178310,76,0.398,0.00935,0.956,0.0038,0.142,-4.429,0.329,106.581,4
0YQEWdfq3ajtNtK106Dr0k,Shinigami Eyes,Shinigami Eyes,Grimes,1/26/2022,159315,76,0.632,0.00604,0.691,0.00149,0.19,-5.226,0.0603,116.028,4
5WOnsi0Bug74LmhxcPfKvR,In Your Arms (For An Angel),In Your Arms (For An Angel),Paul van Dyk,1/28/2022,150476,79,0.694,0.0399,0.828,0,0.0796,-4.653,0.0336,126.002,4
7AVyve7cFYTd51ha5i9kE2,Down Under (feat. Colin Hay),Down Under (feat. Colin Hay),Colin Hay,11/19/2021,158774,84,0.308,0.012,0.861,0.00103,0.277,-4.112,0.172,171.966,4
2OZZpID4LgZ0GGm8XB99e3,Don't Forget My Love,Don't Forget My Love,Miguel,2/11/2022,199091,74,0.638,0.0241,0.872,0.0159,0.118,-6.221,0.0415,121.041,4
0fp6PDlnCkmdE0F3s0tfr6,Original Sin,Original Sin,Sofi Tukker,2/4/2022,171599,73,0.779,0.165,0.727,0.0194,0.32,-8.59,0.053,124.021,4
3I10tZ5MgEMo4WryCNJkZQ,Won't Forget You - Edit,Won't Forget You,Shouse,2/4/2022,230946,74,0.656,0.02,0.655,0.00816,0.103,-6.766,0.024,127.001,4
